bm25_k,vector_k,reranker_model,reranker_top_n,chunk_params,embedding_model,ensemble_weights,avg_bleu,reference_accuracy,avg_rouge1_recall,avg_rouge2_recall
3,3,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4765,0.7778,0.8458,0.7044
3,3,bge-reranker-v2-m3,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.4757,0.7499750000000001,0.847175,0.71505
3,3,bge-reranker-v2-m3,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.47514999999999996,0.743825,0.81605,0.6864
3,5,bge-reranker-large,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.47502500000000003,0.75,0.84785,0.707675
3,5,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.474,0.7407,0.8297,0.6908
5,5,bge-reranker-large,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4738,0.7531,0.8609,0.7324
3,3,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.472675,0.73765,0.8105,0.681125
5,5,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.472625,0.7438250000000001,0.826775,0.69
5,5,bge-reranker-large,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.472625,0.75615,0.847775,0.71475
3,3,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4726,0.7654,0.8469,0.7185
3,5,bge-reranker-large,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.47250000000000003,0.75,0.84055,0.7
3,5,bge-reranker-v2-m3,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.47235,0.7438,0.847225,0.710525
5,3,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4716,0.7531,0.8513,0.7126
